Board,Pile,Tile,Score
1357,0,1,3533
0157,1,1,184
0027,2,2,51
1357,2,1,857
1047,2,4,26
1004,3,4,75
1357,1,1,1380
1251,1,1,35
1111,0,1,25
0011,3,1,1000
0351,1,1,51
0051,3,1,144
0020,2,1,2140
1357,3,6,668
1251,0,1,27
0151,1,1,24
0050,2,1,109
1357,3,1,644
0356,3,5,37
0151,3,1,23
0140,1,1,19
1251,2,5,4
1101,1,1,-44
1357,3,2,478
1055,0,1,44
0015,3,4,-12
1247,3,5,-4
1042,2,4,3
0317,2,1,181
0305,1,1,1
0201,3,1,-88
1357,3,4,568
1333,3,2,6
0331,3,1,36
0130,2,3,120
1357,2,3,890
0327,2,2,27
0301,1,3,210
1357,3,7,536
1320,2,1,15
1300,1,3,190
0327,3,6,36
0021,3,1,-122
1357,2,5,836
1007,0,1,159
0004,3,3,780
1357,1,3,1229
0057,2,2,120
0007,3,2,99
1357,1,2,1391
0157,2,1,47
0047,3,7,5
1207,3,2,14
0205,1,2,19
0002,3,1,2805
0351,2,3,40
0121,1,1,50
0257,1,2,94
0017,3,2,8
0355,1,3,11
0052,3,1,55
0350,2,4,59
0110,2,1,695
1127,3,7,11
1110,0,1,-60
1324,3,4,3
1007,3,4,7
1002,0,1,-46
1357,3,3,655
1351,2,5,32
1001,0,1,505
1255,1,1,22
1151,2,5,45
1001,3,1,545
0007,3,6,625
0057,2,5,92
0006,3,3,-13
1247,0,1,21
0217,1,1,7
0017,3,4,38
0003,3,1,-260
1247,3,4,13
1043,2,3,5
1012,2,1,61
1307,0,1,107
0107,1,1,113
0006,3,2,38
0356,2,4,23
0306,3,2,14
0204,1,2,12
1350,1,1,22
1220,1,1,-5
1020,0,1,-56
0301,1,1,105
0200,1,1,1565
1310,0,1,45
1227,1,2,7
1023,2,1,3
1010,2,1,505
0350,2,2,54
0320,2,2,28
1152,0,1,30
0150,2,2,26
1254,3,3,-8
1250,0,1,51
0210,2,1,-66
0307,1,1,124
0007,3,1,54
0003,3,2,1295
0304,1,2,33
0327,1,1,45
0017,2,1,109
0006,3,1,22
1357,2,4,815
0300,1,1,-190
0351,3,1,154
0250,2,4,60
0257,2,5,77
0303,1,1,34
1156,3,6,11
1140,0,1,6
0110,1,1,680
1357,3,5,575
1350,0,1,135
0330,1,3,7
1354,3,2,10
1302,1,3,29
0211,1,2,-18
1352,2,1,21
1312,0,1,22
0112,3,2,-24
0337,3,1,56
0136,3,4,13
0032,2,2,66
1321,2,2,20
0326,2,1,-3
0306,3,5,3
1357,2,2,975
1317,2,1,61
0107,3,1,10
0102,3,2,220
0030,2,2,990
0356,1,3,11
0053,2,4,26
1340,2,1,2
0310,1,2,-84
1304,3,4,26
1200,1,2,165
1107,1,1,80
1006,0,1,10
1057,2,3,54
0354,2,2,41
0234,3,1,-6
0213,3,1,4
0012,2,1,-152
1320,1,3,43
1137,3,3,6
1132,1,1,20
1031,0,1,51
0011,2,1,955
0354,2,5,22
0204,1,1,45
0103,3,3,95
0202,1,1,56
0317,3,7,23
1227,1,1,32
1123,0,1,-4
0120,2,1,-108
0347,1,1,44
0047,2,1,4
0007,3,5,-110
0241,2,4,10
0101,1,1,795
0257,3,5,66
0222,2,1,18
0211,2,1,71
0353,1,3,30
0052,2,2,24
0022,2,2,-58
0307,1,3,71
1335,2,1,6
0325,1,2,8
0124,2,2,11
1350,2,4,13
0310,1,3,200
0157,3,6,41
0051,2,5,165
1326,3,5,10
0321,2,2,12
0300,1,2,1035
1047,3,7,0
0347,2,1,40
0327,3,2,15
0305,3,2,24
0103,1,1,14
1247,1,1,26
0147,2,1,18
0037,2,2,20
0317,1,1,94
0210,1,1,-82
1332,0,1,12
0330,1,2,29
0120,1,1,-90
1151,0,1,50
0121,2,1,35
0101,3,1,805
1055,2,4,16
0015,3,2,25
1147,0,1,92
0047,3,6,21
0040,2,3,480
1150,2,5,-26
1055,3,4,1
